is_paid,is_discounted,original_price,is_wishlisted,num_published_lectures,num_published_practice_tests,creation_to_publish_days,published_year,published_month,course_age_days,log_num_subscribers
1,1,8640,0,84,0,52,2016,4,3568,12.59645796
1,1,8640,0,78,0,1,2016,8,3429,12.25042919
1,1,8640,0,292,2,49,2017,11,2981,11.95300454
1,1,8640,0,338,0,90,2016,1,3644,12.41252161
1,1,8640,0,83,0,91,2016,1,3654,12.83424654
1,1,8640,0,275,0,7,2017,5,3164,11.72949546
1,1,8640,0,23,0,24,2016,6,3490,11.47426779
1,1,8640,0,275,0,39,2014,11,4066,11.75729024
1,1,8640,0,144,0,120,2016,3,3588,11.63135718
1,1,8640,0,413,0,6,2018,4,2819,11.65503248
1,1,8640,0,117,0,60,2018,4,2818,11.37039369
1,1,8640,0,67,0,18,2016,2,3613,11.31466963
1,1,5760,0,43,0,23,2015,10,3748,11.12945176
1,1,8640,0,41,0,45,2017,8,3062,11.24912918
1,1,8640,0,286,0,2,2017,10,3001,11.27681065
1,1,8640,0,225,0,106,2017,8,3070,12.11177845
1,1,8640,0,101,0,119,2017,2,3245,11.65221773
1,1,8640,0,160,0,17,2016,10,3381,11.39040749
1,1,8640,0,103,0,103,2015,11,3725,11.19055532
1,1,1280,0,47,0,2,2016,10,3379,12.38551506
1,1,8640,0,111,0,112,2017,3,3210,11.32747502
1,1,8640,0,57,0,77,2014,12,4049,11.11736118
1,1,9280,0,61,0,2,2016,6,3485,11.85422176
1,1,2560,0,23,0,227,2017,4,3194,10.820538
1,1,4800,0,44,0,4,2016,9,3417,10.78012228
1,1,8640,0,88,0,29,2017,4,3190,11.21198252
1,1,8640,0,78,0,21,2014,4,4275,11.53984
1,1,8640,0,88,0,2,2018,11,2620,10.8173353
1,1,8640,0,39,0,212,2014,11,4070,10.98769661
1,1,6720,0,31,0,51,2015,9,3774,10.56356904
1,1,8640,0,49,0,11,2016,2,3633,11.35091229
1,1,8640,0,74,0,35,2016,10,3386,11.0522383
1,1,2560,0,124,0,137,2015,11,3717,10.59347976
1,0,2240,0,14,0,2,2013,12,4395,10.22853766
1,1,1920,0,29,0,824,2017,10,3013,10.4139131
1,1,10240,0,206,0,91,2017,5,3177,11.97448731
1,1,8640,0,284,2,57,2017,12,2942,10.27718676
1,1,8640,0,23,0,3,2017,9,3050,10.27291089
1,1,8640,0,44,0,0,2016,11,3351,11.19005826
1,0,3200,0,21,1,18,2019,3,2492,9.951277216
1,0,2240,0,19,0,2,2013,12,4395,10.44281317
1,1,8640,0,86,0,29,2015,3,3959,10.59204924
1,1,10240,0,600,0,5,2018,7,2732,11.04108014
1,1,2240,0,16,0,0,2013,4,4663,11.28923176
1,1,8640,0,97,0,11,2018,3,2851,10.76627202
1,1,2560,0,15,0,36,2016,1,3657,10.39876289
1,1,1280,0,19,0,12,2015,7,3843,9.711842668
1,1,8960,0,152,0,87,2014,4,4290,11.06790319
1,1,8640,0,38,0,15,2017,10,3021,9.966744002
1,1,8640,0,186,0,2,2017,6,3120,10.70290733
1,1,8640,0,305,2,138,2015,11,3696,10.58501751
1,1,9280,0,87,0,1,2017,9,3046,10.27835599
1,1,1920,0,35,0,50,2017,4,3197,10.4165806
1,1,8640,0,88,0,5,2015,11,3716,10.50031655
1,1,8640,0,38,0,10,2013,11,4453,10.00364958
1,1,8640,0,222,1,24,2018,4,2837,10.12894842
1,1,8640,0,68,0,139,2017,4,3189,10.02388938
1,1,8640,0,68,0,2,2014,5,4264,10.26527938
1,1,6400,0,81,0,213,2015,11,3722,10.20099619
1,1,1280,0,6,0,8,2015,11,3701,9.451638134
1,1,8640,0,42,0,6,2017,9,3031,9.727883383
1,1,8640,0,54,0,8,2015,10,3735,10.54413018
1,1,6400,0,18,0,81,2017,3,3238,9.775597361
1,1,8640,0,48,0,292,2018,3,2849,10.12822983
1,1,1280,0,31,0,6,2018,6,2757,9.619797501
1,1,8640,0,43,0,18,2018,3,2849,10.50919599
1,1,8640,0,30,0,12,2015,9,3759,10.17705802
1,1,8640,0,637,0,11,2018,5,2810,10.15894339
1,1,8640,0,208,0,418,2017,7,3113,10.15229885
1,1,5760,0,16,0,5,2017,9,3035,9.669472621
1,1,8640,0,127,0,143,2017,10,3000,10.65923387
